x,y,cluster
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
16.27,24.5,5
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
23.9,8.1,2
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
16.27,14.8,5
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
30.200001,8.01,2
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
36.400002,2.95,1
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.400002,2.95,1
36.400002,2.95,1
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.400002,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
26.200001,2.95,2
36.400002,2.95,1
36.400002,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
36.400002,2.95,1
36.400002,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
36.400002,2.95,1
36.799999,8.01,7
34.48,2.95,1
36.400002,2.95,1
36.400002,2.95,1
36.400002,2.95,1
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.400002,2.95,1
36.400002,2.95,1
36.799999,8.01,7
36.799999,8.01,7
36.400002,2.95,1
36.400002,2.95,1
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
36.400002,2.95,1
36.400002,2.95,1
34.48,2.95,1
36.400002,2.95,1
34.48,2.95,1
36.799999,8.01,7
